,Total,After Made Shot*,After Def Rebound,After Turnover*,,,,,,,,,,,,,,,,,,
Rnk,Team,Gms,poss,seconds,points  â–²,%,seconds,points,%,seconds,points,%,seconds,points,,,,,,,,
1,BOS,12,"1,219",14.5,27,1.02,1,51%,17.3,25,1.03,11,39%,11.8,28,0.98,2,7%,9.3,24,1.04,3
2,MIL,12,"1,277",13.9,10,1.03,2,56%,16.6,10,0.96,2,35%,10.4,2,1.11,24,7%,8.5,17,1.02,2
3,DEN,12,"1,191",14.5,24,1.03,3,56%,17.5,28,1.02,10,34%,10.7,8,1,5,8%,8.7,20,1.16,9
4,OKC,12,"1,238",14.5,26,1.03,4,54%,16.9,21,0.99,5,36%,11.7,26,1.06,12,7%,10,29,1.24,17
5,MEM,11,"1,076",13.8,7,1.03,5,53%,16.4,3,0.96,1,38%,11.3,23,1.05,11,7%,7.5,3,1.38,23
6,IND,13,"1,270",14.9,29,1.04,6,56%,17.7,30,0.98,4,35%,11.5,25,1.11,21,7%,10.1,30,1.21,12
7,POR,12,"1,230",13.7,4,1.05,7,57%,16.2,2,1.04,12,34%,10.6,6,1.05,10,7%,7.8,4,0.99,1
8,PHI,14,"1,496",14.2,21,1.06,8,54%,16.9,22,1.11,28,36%,11.1,17,0.96,1,7%,8.9,22,1.07,5
9,DET,11,"1,157",13.6,1,1.06,9,53%,16.1,1,1.06,19,38%,10.8,13,1.01,7,7%,8.3,11,1.09,7
10,TOR,13,"1,329",14.2,20,1.06,10,57%,16.8,18,1.02,7,34%,10.8,12,1.07,14,7%,8.1,8,1.24,16
11,SAS,11,"1,112",13.7,5,1.07,11,53%,16.6,8,1.05,17,38%,10.4,3,1.01,6,7%,9.5,27,1.55,30
12,CHA,12,"1,232",13.9,9,1.07,12,55%,16.7,15,0.99,6,36%,10.5,5,1.09,19,7%,8,7,1.3,19
13,MIA,12,"1,237",14.1,17,1.07,13,54%,16.6,11,1.02,8,36%,11,16,1.08,17,7%,9.4,26,1.35,21
14,LAC,12,"1,248",13.9,11,1.07,14,55%,16.5,7,1.02,9,34%,10.8,11,1.09,18,8%,8.6,19,1.22,13
15,GSW,13,"1,339",15.1,30,1.08,15,58%,17.4,27,1.12,29,32%,12.3,30,0.99,3,8%,8.3,13,1.22,15
16,SAC,13,"1,407",13.7,3,1.08,16,53%,16.7,14,1.04,13,37%,10.4,1,1.1,20,8%,8.4,16,1.08,6
17,HOU,11,"1,092",14.5,25,1.09,17,50%,17.3,26,1.09,22,40%,12,29,1.07,13,8%,7.4,1,1.07,4
18,LAL,12,"1,284",14.3,22,1.09,18,56%,17.3,24,0.96,3,35%,10.5,4,1.2,30,8%,8.3,12,1.3,20
19,ORL,12,"1,206",14,14,1.09,19,52%,16.8,16,1.04,14,39%,11.2,20,1.12,25,7%,7.9,6,1.22,14
20,UTA,12,"1,208",14.3,23,1.09,20,55%,16.9,19,1.05,16,34%,11.4,24,1.07,15,8%,8.7,21,1.37,22
21,NYK,13,"1,322",13.8,8,1.09,21,54%,16.5,6,1.1,26,36%,10.7,10,1.03,8,7%,8.4,14,1.17,10
22,BKN,13,"1,294",14,13,1.1,22,54%,16.6,9,1.07,20,36%,10.7,9,1.04,9,7%,9,23,1.45,28
23,ATL,12,"1,295",13.9,12,1.11,23,52%,16.9,20,1.1,24,36%,10.9,14,0.99,4,9%,8.1,9,1.4,25
24,NOP,12,"1,269",14.2,19,1.11,24,55%,16.8,17,1.09,23,34%,11.2,19,1.13,27,8%,8.1,10,1.17,11
25,DAL,12,"1,230",14.1,16,1.11,25,54%,16.7,13,1.1,25,34%,11,15,1.12,26,9%,9.3,25,1.11,8
26,CHI,13,"1,323",14.8,28,1.11,26,52%,17.6,29,1.05,15,38%,11.7,27,1.15,29,8%,9.6,28,1.27,18
27,PHX,12,"1,219",13.6,2,1.13,27,51%,16.4,4,1.06,18,37%,11.1,18,1.11,22,10%,7.9,5,1.42,27
28,WAS,12,"1,266",14.1,15,1.13,28,53%,16.7,12,1.11,27,37%,11.3,21,1.11,23,7%,8.5,18,1.4,24
29,MIN,13,"1,341",13.8,6,1.14,29,54%,16.4,5,1.15,30,38%,10.6,7,1.08,16,6%,8.4,15,1.47,29
30,CLE,12,"1,189",14.1,18,1.14,30,53%,17,23,1.09,21,36%,11.3,22,1.14,28,8%,7.5,2,1.42,26
League,"1,253",14.1,1.08,54%,16.8,1.05,36%,11.1,1.07,8%,8.6,1.25,,,,,,,,,,
Correlation,-0.19,-0.09,-0.11,0.02,,,,,,,,,,,,,,,,,,