Total,After Made Shot*,After Def Rebound,After Turnover*,,,,,,,,,,,,,,,,,,,
Rnk,Team,Gms,poss,seconds,points,%,seconds,points,%,seconds,points,%,seconds,points,,,,,,,,
1,ATL,12,"1,292",12.8,1,1.02,28,56%,15.6,4,0.99,26,34%,9.3,1,1.04,20,8%,7.7,7,1.07,27
2,LAL,12,"1,280",12.9,2,1.1,9,55%,15.7,5,1.03,18,35%,9.7,2,1.13,7,8%,7.2,1,1.4,3
3,SAC,13,"1,400",13,3,1.07,15,55%,15.4,2,1.01,22,35%,10.1,4,1.12,8,8%,7.4,3,1.38,4
4,GSW,13,"1,331",13,4,1.19,1,53%,15.6,3,1.19,1,38%,10,3,1.17,2,8%,9.1,24,1.31,13
5,NOP,12,"1,271",13,5,1.11,7,55%,14.9,1,1.16,2,36%,10.8,13,1.03,22,7%,8.2,11,1.12,26
6,MIL,12,"1,277",13.4,6,1.14,3,50%,16.2,8,1.1,6,41%,10.7,9,1.11,10,6%,8.7,15,1.44,2
7,OKC,12,"1,238",13.4,7,1.06,19,52%,16.2,9,1,24,34%,11.1,16,1.07,12,11%,7.6,6,1.13,25
8,PHI,14,"1,484",13.4,8,1.06,20,51%,16,6,0.97,29,40%,10.7,11,1.06,17,7%,8.6,14,1.36,7
9,WAS,12,"1,263",13.5,9,1.05,23,58%,16.1,7,1.07,9,32%,10.2,5,0.97,30,8%,7.6,5,1.19,19
10,TOR,13,"1,333",14,10,1.15,2,52%,17.2,19,1.1,7,37%,10.7,10,1.15,3,8%,7.2,2,1.38,5
11,LAC,12,"1,251",14,11,1.12,6,54%,16.9,14,1.09,8,38%,10.5,7,1.13,6,5%,7.6,4,1.18,21
12,MIA,12,"1,245",14,12,1.07,17,54%,16.9,15,1.03,17,37%,10.4,6,1.06,16,7%,9.7,27,1.35,8
13,MIN,13,"1,348",14.1,13,1.07,16,56%,16.8,13,1.06,11,33%,10.6,8,1.08,11,9%,8.8,19,1.01,30
14,BOS,12,"1,217",14.1,14,1.05,25,52%,16.8,11,0.98,28,39%,11.4,20,1.04,19,7%,7.9,8,1.35,10
15,CHI,13,"1,323",14.2,15,1.05,24,54%,17,16,1.05,14,36%,11,14,0.99,28,7%,8.4,12,1.2,18
16,UTA,12,"1,214",14.2,16,1.1,8,54%,16.8,12,1.04,16,36%,11.5,22,1.14,4,8%,8,9,1.35,9
17,DAL,12,"1,228",14.3,17,1.08,14,57%,16.7,10,1.05,15,35%,11.2,17,1.03,23,6%,8.5,13,1.5,1
18,CHA,12,"1,229",14.4,18,1.14,4,55%,17.4,22,1.12,4,36%,10.8,12,1.13,5,7%,8.8,20,1.32,11
19,IND,13,"1,271",14.5,19,1.08,13,53%,17.5,24,1.05,13,36%,11.4,21,1.07,14,9%,8.7,16,1.38,6
20,ORL,12,"1,216",14.6,20,1.01,29,54%,17.5,25,0.98,27,35%,11.3,19,1,27,8%,9,23,1.17,23
21,POR,12,"1,233",14.6,21,1.14,5,51%,17.3,20,1.14,3,41%,11.9,25,1.12,9,6%,8.8,18,1.19,20
22,HOU,11,"1,084",14.6,22,1.03,27,55%,17,17,1.01,23,34%,11.5,23,0.98,29,9%,10.7,30,1.25,15
23,DET,11,"1,154",14.6,23,1.06,22,54%,17.1,18,1.03,20,37%,11.7,24,1.02,26,7%,9.6,26,1.16,24
24,DEN,12,"1,199",14.7,24,1.1,10,51%,17.4,23,1.06,10,38%,12.4,29,1.07,13,9%,8,10,1.32,12
25,CLE,12,"1,194",14.9,25,1.04,26,56%,18,28,0.99,25,34%,11,15,1.03,21,8%,8.9,21,1.21,17
26,NYK,13,"1,326",14.9,26,1.06,21,55%,17.4,21,1.03,19,35%,12.2,28,1.02,24,8%,8.8,17,1.29,14
27,PHX,12,"1,222",15,27,0.99,30,56%,17.9,27,0.94,30,35%,11.3,18,1.07,15,7%,8.9,22,1.02,28
28,BKN,13,"1,292",15.2,28,1.1,11,56%,17.5,26,1.12,5,35%,12.2,27,1.05,18,7%,10.4,29,1.01,29
29,SAS,11,"1,111",15.3,29,1.08,12,54%,18.2,29,1.01,21,37%,11.9,26,1.18,1,7%,10,28,1.18,22
30,MEM,11,"1,070",16,30,1.06,18,54%,18.9,30,1.06,12,33%,13.1,30,1.02,25,11%,9.5,25,1.21,16
League,"1,253",14.1,1.08,54%,16.8,1.05,36%,11.1,1.07,8%,8.6,1.25,,,,,,,,,,
Correlation,-0.23,-0.21,-0.2,-0.27,,,,,,,,,,,,,,,,,,